Location;Job_Count
Zürich;42
Bern;20
Geneva;11
Zurich;9
Solothurn;5
Winterthur;4
Lausanne;4
Baden;3
Luzern;3
Basel;3
Urdorf;2
1201 Genève;2
Genève;2
Bottighofen;2
Martigny;2
Schlieren;2
Frauenfeld;2
Zürich-Seefeld;2
Reinach;2
Rolle;2
Burgdorf;2
Deutschschweiz;2
Mägenwil;2
Zürich und/oder Mägenwil;2
Allschwil;2
St. Gallen;2
Lenzburg;2
Hünenberg;1
Fribourg;1
Ostschweiz;1
Vaud;1
Sion;1
Sierre;1
Egerkingen;1
Hergiswil;1
Thun, Berne, Schweiz;1
Bonaduz;1
St.Gallen;1
Neuchâtel (Hybrid);1
Ibach-Schwyz;1
Wollerau;1
Bussnang;1
St. Gallen und/oder Zürich-Flughafen (The Circle);1
6036 Dierikon;1
Kaiseraugst;1
Haag;1
Zürich Seebach;1
Risch;1
Balerna;1
Härkingen;1
Nänikon-Greifensee;1
Münchenstein Spenglerpark und mobiles Arbeiten;1
CH - Zürich;1
5630;1
Emmen;1
Emmenbrücke;1
Payerne;1
Neuenburg-Jura;1
Zentralschweiz;1
1211 GENEVE 11;1
Villars-sur-Glâne;1
1008 Prilly;1
Rheinfelden;1
Buchs AG;1
Basel Hauptsitz/Siège;1
Echandens;1
2606 Corgémont;1
Tägerwilen;1
Liebefeld;1
Berna;1
Büren an der Aare;1
Landquart;1
Chiasso;1
Graubünden, Grono or remote;1
Lausanne, Switzerland;1
Dübendorf;1
Regensdorf;1
Boudevilliers;1
Raum Bern und teilweise im Homeoffice;1
Pully;1
Cambridge (USA);1
Stabio;1
"Switzerland &gt; Basel : H-127 A2";1
Pfäffikon;1
Bleichemattstrasse 31;1
Gland;1
Oerlikon;1
Prilly;1
Reinach BL;1
Chur;1
Neuenburg (mit flexibler Home-Office-Möglichkeit);1
