Job_Index,Job_Title,Company_Name,Job_Location,Tasks,Skills,Job_Search_Term
1,Senior Consultant - Consulting - Data Management & Governance,EY (Ernst & Young AG),Zurich,"You will work on Data Governance and Data Management topics on a project basis, for and in collaboration with customers throughout Switzerland and internationally. | You will work for interesting national and international organizations in various domains such as Supply Chain, Finance, Risk, etc. and across various sectors like Life Sciences, Consumer Products & Retail, etc. | You will learn through knowledge sharing, trainings and on the job experiences. | You will contribute to develop new propositions and innovative solutions that are responsive to market needs. | You will support in growing the Data Strategy, Management and Governance team.","Hold a master's degree with a minimum of three years' experience in Data Management, including Data Strategy, Data Governance, Master Data Management, Metadata Management, and Data Quality. | Proven track record in implementing data governance frameworks (e.g., DAMA, DCAM, CMMI, COBIT) and performing maturity assessments. | Proficiency with Master Data Management Software (e.g., SAP MDG, Reltio, SAS) and data governance tools (e.g., Collibra, Informatica). | Experience with cloud platforms such as Azure, AWS, Google Cloud is highly desirable. | Exhibit a flexible, proactive approach, with excellent team collaboration and communication skills. | Business fluency in both English and German is required. | A keen interest or background in AI and data analytics is advantageous.",Data Science
2,Data/BI Engineer 80-100% (m/w),Komax Group,6036 Dierikon,"Entwickeln einer neuen Datenplattform mit MS Fabric zusammen mit dem BI & Analytics Team | Aufnahme und Definition der Daten-Anforderungen gemeinsam mit den Fachbereichen | Übersetzung fachlicher Anforderungen in technische Konzepte und Lösungen | Definition und Pflege von Data Products und deren Beschreibung im Data Catalog | Etablierung und Weiterentwicklung von Standards für Data Governance, Data Security und Data Quality | Unterstützung und Support der Fachbereiche bei der Nutzung von Power BI | Anleitung und Enablement der Analytics-Spezialisten in den Fachbereichen | Zusammenarbeit mit Data Engineers zur Sicherstellung der Datenverfügbarkeit und -qualität im Data Lakehouse (Microsoft Fabric) | Visualisierung und Analyse von Daten zur Ableitung von Handlungsempfehlungen","Abgeschlossenes Studium in Wirtschaftsinformatik, Data Science, Statistik oder vergleichbare Qualifikation | Ausgeprägte analytische Fähigkeiten und Kommunikationsstärke | Erfahrung in der Arbeit mit modernen Datenplattformen und Data Governance Frameworks | Kenntnisse in Microsoft Fabric, Power BI, Azure oder vergleichbaren Technologien von Vorteil | Erfahrung in der Zusammenarbeit mit Fachbereichen und im Requirements Engineering | Verständnis für Datenqualität, Datenschutz und Informationssicherheit",Data Science
3,Praktikant/in Lage- und Nachrichtenzentrum mit Fokus in Data Science (m/w/d) - befristet für 6 - 12 Monate,Kanton St. Gallen,St.Gallen,"Konzeption und Aufbau von Data Pipelines (Erfassung bis Visualisierung) | Entwicklung interaktiver Reports | Optimierung unseres Daten-Ökosystems (Architektur, Performance & Usability) | Dokumentation der reibungslosen Betriebsübernahme","Studium mit Bezug zur Aufbereitung und Auswertung von Daten (z.B. Data Science, Data Analytics, Data Engineering, Wirtschaftsingenieurswesen mit Vertiefung Datenanalyse, usw.) | Oder anderweitige Aus- oder Weiterbildung mit starkem Interesse an der Arbeit im Sicherheitsbereich bzw. in den polizeilichen Tätigkeiten in Kombination mit ausgeprägtem technischem Verständnis | Idealerweise Kenntnisse von Workflowsoftware, Pipeline- und Analysetools sowie versierter Umgang mit Docker | Freude an der Verbesserung von Arbeitsabläufen | Hohe Eigenmotivation und Selbständigkeit",Data Science
4,Software Development Engineer,Bühler AG,Uzwil,"You develop, validate, and deploy predictive and prescriptive models in agile software projects (Python, KQL) | You create physics-informed models to fuse process knowledge with data-driven insights. | You are responsible for the development and life cycle of containerized Data Models to run on an Azure Cloud environment | You are responsible for constant code reviews and creation of tests | You enjoy continuous, pro-active collaboration with the project management and cloud platform department in interdisciplinary projects","BSc. or MSc. in Data Science, Software Engineering, Electrical/Control Engineering, Applied Mathematics, Statistics, or related field | Proficiency in programming languages (Python), machine learning, statistical analysis | English spoken and written (atleast B2) | Experience in agile working principles, DevOps, GIT | Strong problem-solving abilities and the capacity to think critically about data and identify relevant questions to ask",Data Science
5,Research Software Engineer,ETH Zürich,Zürich,"Master or PhD degree in computational sciences or related field such as physics, bioinformatics, computer science, etc.; | good understanding of the fundamentals of natural sciences, numerical methods and scientific programming; | mastery of Python and 2-3 other programming languages (e.g., C/C++, R, Julia, Rust) and knowledge of object-oriented programming and software design; | hands-on experience in full stack web development (back- and front-end) and corresponding web frameworks (e.g., FastAPI, Django); | experience in applying best practices in scientific programming (e.g., automated testing and version control) and container technology (e.g., Docker); | proficiency with the command line and the Linux compute environment. | Motivation letter; | CV; | Diplomas and work certificates; | Contact information of at least two references.","experience in application deployment, operation and maintenance on Kubernetes clusters, virtual machines or cloud environments; | hands-on experience with HPC clusters (e.g. Slurm), optimization and parallelization or GPU computing (e.g., Dask, ipyparallel) and with the usage of workflow managers (e.g., Snakemake, Nextflow, etc.).",Data Science
6,Machine Learning Engineer – Personalization & Recommendations (a),Consult & Pepper AG,Neuchâtel (Hybrid),"Application Layer Development
Design and build the foundation of Aktiia’s next-generation recommendation engine together with a cross-functional software team (~20 engineers). | Dynamic User Modeling
Develop evolving user profiles that adapt continuously as new data and interactions are integrated. | Insight Generation
Transform raw signals into clear, personalized, and engaging user-facing experiences. | Cross-Domain Adaptation
Leverage proven methods from recommendation-heavy domains (e.g. travel, streaming, commerce) and adapt them to digital health. | End-to-End Ownership
Drive projects from prototyping and experimentation through testing, deployment, and iteration in production. | Collaboration
Work closely with product, data science, and engineering teams to ensure solutions are robust, user-friendly, and aligned with business goals. | Pioneering Role
Help Aktiia apply recommender system principles in a new domain, shaping something that has not been built before.","Academic Background
PhD or MSc in Informatics, Mathematics, Physics, Biology,Data Science, Signal Processing or related field. | Professional Expertise
4+ years of experience building and deploying recommendation systems in production, with expertise in personalization, clustering, and recommendation logic.
Proven track record generating user-facing insights and iterating recommendation models at scale. Knowledge of reinforcement learning and its application to personalization and recommendation systems. | Technical Experience
Strong programming skills in Python with hands-on experience in modern ML/AI frameworks. Skilled in building, validating and deploying ML models. Familiar with data pipelines, cloud and best engineering practices. Experience with large language models (LLMs), including practical use of open-source models, RAG, embeddings, and fine-tuning. | Industry Fit
Preferred background in recommendation-driven industries such as travel, streaming, e-commerce, advertising or digital marketing. Ideally from start-ups or mid-sized companies with end-to-end system ownership. | Language Skills
English at highly proficient level is a must. French, German or Italian are advantageous. | Personality
Hands-on, execution-driven product builder with strong ownership, accountability, and customer focus. On top you are a strong team player!",Data Science
7,Supply Chain Analyst,Vorwerk International & Co. KmG,Wollerau,"Develop and visualize relevant supply chain KPIs to drive operational excellence | Create user-friendly dashboards and reports (especially in Qlik) | Identify risks, weaknesses, and improvement opportunities through data analysis | Analyze and enhance existing processes in close collaboration with SCM, logistics, and related areas | Support the standardization and digitalization of control processes | Analyze and optimize interfaces between countries, logistics hubs, other company entities, and 3PL partners | Contribute to the further development of planning and control systems (e.g., SAP IBP) | Prepare ad-hoc analyses and present data-driven recommendations","Completed degree in Business, SCM, Data Science, or a related field | Experience in KPI and BI environments with strong analytical skills | Excellent understanding of end-to-end supply chain processes | Knowledge of SAP IBP/S/4HANA and BI tools such as Qlik is a plus | Basic SQL skills for working with data sources and creating efficient analyses (e.g., for | Qlik dashboards) | Experience in process management (Lean, Six Sigma, BPMN desirable) | Structured and conceptual way of working, with strong presentation skills | High self-motivation and potential, with willingness to take on leadership responsibilities in the medium term",Data Science
8,Data & AI Lakehouse Engineer 80-100% m/w/d,Victorinox AG,Ibach-Schwyz,"Entwerfen, implementieren und optimieren der Fabric-Lakehouse-Architektur inkl. ELT-Pipelines und Capacity-Management | Entwickeln, betreuen und performance-tunen komplexer Power BI-Datenmodelle und -Berichte in enger Abstimmung mit Fachbereichen | AI-Readiness schaffen: Datenprodukte für Machine-Learning- und Gen-AI-Use-Cases vorbereiten und erste Prototypen realisieren basierend auf der Fabric Lakehouse Plattform | Know-how-Transfer und Coaching innerhalb der BI-Community, um Best Practices für Fabric und Power BI im Unternehmen zu verankern | Sicherstellen von Datenqualität, Security und Compliance sowie Automatisierung von CI/CD-Workflows","Abgeschlossenes Studium in Informatik, Data Science oder vergleichbare Qualifikation | Erfahrung im Bereich Data-/BI-Engineering auf dem Microsoft Stack, davon mindestens 2 Jahre mit Azure und/oder Microsoft Fabric | Sehr gute Kenntnisse in DAX, Power Query, SQL, SparkSQL, Phython | Erfahrung mit modernen Data-Engineering-Tools | Interesse an AI-Technologien und deren praktischer Anwendung | Sehr gute Deutsch (C1/C2) - und Englischkenntnisse (C1/B2) | Analytisches Denken, Eigeninitiative und Freude an der Zusammenarbeit mit Fachbereich",Data Science
9,Junior Quantitativer Analyst (w/m/d),Raiffeisen Schweiz,St. Gallen und/oder Zürich-Flughafen (The Circle),"Du entwickelst und überprüfst statistische Modelle zur Risikoquantifizierung – von Kreditrisiko über Markt- bis hin zu operationellem Risiko | Du analysierst Daten, bereitest sie auf und unterstützt bei der Erstellung von quantitativen Auswertungen | Du bringst deine Ergebnisse auf den Punkt – und kommunizierst sie klar und verständlich an interne und externe Stakeholder | Du arbeitest eng mit Teams innerhalb und ausserhalb der Abteilung und des Bereichs zusammen","Abgeschlossenes Masterstudium an einer Universität mit quantitativem Fokus (Mathematik, Physik, Statistik, Data Science oder Naturwissenschaften) | Mind. 2 Jahre Berufserfahrung im Finanzumfeld | Kenntnisse in Finanzmathematik, Wahrscheinlichkeitstheorie und Statistik - idealerweise mit Anwendung im Kreditrisikokontext | Programmierkenntnisse in R oder Python, Grundkenntnisse in SQL, LaTeX und Git sind ein Plus | Neugier, Eigeninitiative und Motivation dich in komplexe Themen einzuarbeiten und Verantwortung zu übernehmen | Sehr gute Deutschkenntnisse werden vorausgesetzt",Data Science
10,Teamleiter/in Data Engineering,Diartis AG,Lenzburg,"Personelle und fachliche Führung des Teams Data Engineering (3 Personen) | Strategische Weiterentwicklung der Services unseres Teams (Datenmigration und Reporting) inkl. Mitwirkung an bereichsübergreifenden Boards | Selbstverantwortliche Arbeits- und Ressourcenplanung in Absprache mit unseren Projektleitenden | Sicherstellen der Pflege von Anleitungen und Dokumentationen | Umsetzung von AdHoc- und SSRS-Reports für interne und externe Stakeholder | Planung, Konzipierung und Durchführung von Datenmigrationen mit Kunden und Weiterentwicklung der Migrationsroutinen | Beratung und Unterstützung deiner Firmenkollegen und -kolleginnen in Sachen Reporting und SQL","Du hast Führungserfahrung und bist gerne mit Menschen unterwegs | Studium in Data Science / Studium in Business Intelligence (Bachelor oder Master) oder eine vergleichbare Ausbildung | Fundierte Erfahrung in Reporting und Datenanalyse (SSRS, T-SQL, Power BI) | Buchhaltungskenntnisse von Vorteil | Erfahrung mit Datenmigrationen und Datenbank-Funktionalitäten (SQL Server, SSIS) | Analytisch-vernetztes Denken, lernfreudige und kommunikative Persönlichkeit sowie strukturierte Arbeitsmethodik | Verhandlungssicheres Deutsch, Französisch von Vorteil",Data Science
