Job_Index;Job_Title;Company_Name;Job_Location;Tasks;Skills
1;Business Analyst - Finance & Accounting (100 %);Bank CIC (Schweiz) AG;Basel;Sie sind Zuständig für Design und Einführung von digitalen Lösungen im Bereich Accounting (Buchungsregel- und Bilanzierungsregeldefinition) | Sie unterstützen die Fachbereiche bei der Formulierung von Business Requirements | Sie erstellen innerhalb der vorgegebenen Fristen qualitativ hochwertige Spezifikationen | Sie identifizieren alle Beteiligten (Nutzer, Manager, Regulierungsbehörden usw.) und Abhängigkeiten | Sie erarbeiten Vorschläge zur Umsetzung von Lösungen in Abstimmung mit der IT um sicherzustellen, dass die vorgeschlagene Lösung den fachlichen und technischen Anforderungen entspricht | Sie sind Zuständig für die Unterstützung der Testkoordinatoren und Tester bei der Erstellung der Testdrehbücher, Begleitung der Benutzertests und Durchführung von Support sowie Benutzerschulungen, um den reibungslosen Übergang vom Projektmodus zum Betrieb sicherzustellen | Sie pflegen und entwickeln die Anwendungsumgebung weiter, um die Qualität der Anwendungen und die Leistungsfähigkeit der Organisation zu gewährleisten;no skills found on this job ad
2;Business Analyst:in / Software Param - BSI Customer Suite (80% - 100%);Basellandschaftliche Kantonalbank;Münchenstein Spenglerpark und mobiles Arbeiten;führst Business Analysen durch und steuerst neue Anforderungen von der Erfassung über die Ausarbeitung bis hin zur Dokumentation | arbeitest eng mit internen und externen Spezialisten, Partnern und Fachbereichen zusammen und sorgst für reibungslose Abstimmungen und ein effizientes Stakeholder-Management | setzt Konfigurationen in der BSI Customer Suite um und entwickelst Low-Code Lösungen mittels TypeScript | verantwortest den täglichen Betrieb (Monitoring, Fehleranalyse, Fehlerbehebung) und stellst die Servicequalität sicher;verfügst über fundiertes Bankfachwissen und kennst dich mit CRM-Systemen aus – Kenntnisse spezifisch in der BSI Customer Suite sind dabei ein grosses Plus | hast praktische Erfahrung in der Konfiguration von Anwendungen und in der Low-Code Entwicklung oder bringst eine hohe technische Affinität mit | zeichnest dich durch deine Kundenorientierung aus und bringst Offenheit sowie die nötige Flexibilität für eine dynamische Umgebung mit | arbeitest strukturiert und analytisch und beherrschst die Methoden der Business Analyse
3;Business Analyst;ECSA Energy SA;Balerna;esperienza pregressa di almeno 4/5 anni nel ruolo richiesto | conoscenza strumenti SQL e Database | esperienza maturata su ERP e conoscenza dei principali flussi aziendali, con particolare focus su logistica e magazzino | buona conoscenza della lingua inglese;Gradita dimestichezza in data warehousing | Ottime capacità relazionali e propensione al lavoro di squadra | buona conoscenza del pacchetto Office, in particolare di Excel | disponibilità a occasionali trasferte presso le sedi esterne
4;Business Analyst (m/w/d);ITech Consult AG;Zürich;Analyse und Bewertung definierter Schwachstellen im Bereich GwG/VSB/KYC | Erarbeitung und Dokumentation von Lösungsvorschlägen in enger Abstimmung mit Stakeholdern | Erstellung von Anforderungen/Features zur Übergabe an die IT | Unterstützung bei der Anpassung von Weisungen, Prozessen, Kontrollen und Formularen (z. B. KYC) | Begleitung der Umsetzung bis zur Einführung: Testing, Abnahme, Change-Kommunikation | Mitarbeit in einem 5-köpfigen Team im Produktmanagement GwG/VSB, Schnittstelle zwischen Business und IT | KYC (Know Your Customer) | VSB (Vereinbarung über die Standesregeln zur Sorgfaltspflicht der Banken) | GwG und regulatorische Anforderungen | Kontoprüfungen und Kreditabwicklungen;"5-8 Jahre Erfahrung als Business-Analyst:in in der Finanzbranche | Projekterfahrung in den Bereichen:
KYC (Know Your Customer)
VSB (Vereinbarung über die Standesregeln zur Sorgfaltspflicht der Banken)
GwG und regulatorische Anforderungen
Kontoprüfungen und Kreditabwicklungen | KYC (Know Your Customer) | VSB (Vereinbarung über die Standesregeln zur Sorgfaltspflicht der Banken) | GwG und regulatorische Anforderungen | Kontoprüfungen und Kreditabwicklungen | Sicher in der Anforderungsanalyse, Modellierung und Dokumentation | Erfahrung im Stakeholder-Management (Business & IT) | Tools: Jira, Confluence, PowerPoint von Vorteil"
5;Business Analyst Bahnbereich;AKROS AG;Bern;Brückenbauer: Du agierst als zentrale Schnittstelle zwischen der IT und den verschiedenen Fachbereichen unseres Kunden, um ein gemeinsames Verständnis für Anforderungen und Lösungen zu schaffen. | Prozessoptimierer: Du analysierst detailliert bestehende Geschäftsprozesse, identifizierst Schwachstellen und deckst Optimierungspotenziale im Zusammenspiel von IT-Systemen und Sachmitteln auf. | Datenexperte: Du prüfst und analysierst Geschäftsdaten auf ihre fachliche Korrektheit und legst damit das Fundament für einen reibungslosen und effizienten Bahnbetrieb. | Innovator & Requirements Engineer: Du bist verantwortlich für die Konzeption, detaillierte Dokumentation und klare Kommunikation von Anforderungen an zukunftsfähige IT-Lösungen, die Geschäftsprozesse optimal unterstützen. | Fachexperte & Impulsgeber: Als anerkannter Fachspezialist übernimmst du die übergreifende Begleitung und aktive Weiterentwicklung wichtiger Fachthemen innerhalb des Unternehmens.;Erste Erfahrungen in der Betreuung von Junior Business Analysten und die Fähigkeit, ein Team von Business Analysten zu koordinieren. | Erfahrung in der Rolle als Proxy-PO oder Epic Owner im SAFe-Umfeld. | Kenntnisse im Bereich IT-Architektur und idealerweise eine entsprechende Zertifizierung (ISAQB, TOGAF). | Erfahrung in der Konzeption und Durchführung von Proof of Concepts im Softwarebereich unter Einsatz von Low-Code Programming Tools. | Erfahrungen mit Snowflake and Azure Data Factory. | Kenntnisse im Umgang mit GIS-Systemen. | Erfahrung in der Erstellung von Testfällen. | Erfahrung in der Anwendung von KI-Tools zur Unterstützung von Geschäftsprozessen und im Software-Engineering.
6;Business Analyst Geldwäschereigesetz / VSB;Pro Informatik AG;Zürich;IT Business Analyse im Bankenbereich | Behebung von vorhandene Business Schwachstellen bei Bestandeskunden rund um das Thema GwG (Geldwäschereigesetz) und VSB (Vereinbarung über die Standesregeln zur Sorgfaltspflicht der Banken), insbesondere VSB Identifikation, Wirtschaftliche Berechtigung & KYC | Analyse von identifizierten Schwachstellen und Erarbeitung von Lösungen zusammen mit verschiedenen Stakeholdern (Business und IT) | Vorbereitung der Lösung (Erstellung von Features) soweit, dass die IT diese umsetzen kann | Begleitung der Lösung bis und mit Einführung (Testing, Change-Kommunikation);Mehrjährige Erfahrung als IT Business Analyst im Bankenumfeld | Erfahrung in der Überführung von Business Schwachstellen in IT-gestützte Lösungen | Gutes Verständnis im Bereich GwG (Geldwäschereigesetz) und VSB (Vereinbarung über die Standesregeln zur Sorgfaltspflicht der Banken) | Erfahrung mit PowerPoint, Confluence und Jira. | Fliessende Deutschkenntnisse
7;Business Analyst Versicherungstechnik;Centris AG;Solothurn;Analysieren und Modellieren von Geschäftsprozessen in der Versicherungstechnik in den Bereichen Privat- und/oder Firmenkunden | Erarbeiten und Beurteilen von Lösungsvarianten hinsichtlich Funktionalität, Qualität & Wirtschaftlichkeit | Aufnahme, Analyse, Spezifikation und Dokumentation von Business-Anforderungen | Umsetzung der Kundenanforderungen mittels Parametrierungen im Kernsystem (Syrius) | Unterstützung beim Testen neuer Releases und Parametrierungen | Mitwirkung in Kundenprojekten;Abgeschlossene Berufsbildung im Bereich Informatik oder KV mit entsprechender höherer Weiterbildung im Bereich IT oder Business Analyse (bspw. Wirtschaftsinformatiker FH) | Mindestens 3 Jahre Erfahrung und Fachkenntnisse im Bereich Kranken- und/oder Unfallversicherung. | Erfahrung in der Parametrierung, insbesondere von Syrius | Vorzugweise Erfahrung mit agilen Arbeitsmethoden, idealerweise nach SAFe | Methodische Kenntnisse in der Erfassung und Analyse von Business Anforderungen | Kenntnisse der französischen Sprache von Vorteil
8;Business Analyst (m/w/d) 100%;Manor AG;Basel Hauptsitz/Siège;Du unterstützt die Fachbereiche bei der Erstellung von Anforderungsspezifikationen für Lösungsansätze, unter Berücksichtigung der technischen Systemanforderungen. | Du analysierst die Gesamtzusammenhänge von Businessprozessen, Organisationsstrukturen, Informatik- sowie Sachmitteleinsätzen und identifizierst Schwachstellen. | Du erhebst, überprüfst und dokumentierst fachliche Bedürfnisse und Erwartungen von Organisationseinheiten in ihren Projektvorhaben. | Du erarbeitest Lösungsvorschläge und Entscheidungsgrundlagen aufgrund der erfassten Anforderungen. | Du bereitest Qualitätssicherungsmassnahmen gemäss den vorgegebenen Anforderungen vor. | Du bewertest und validierst betriebliche Lösungen hinsichtlich Projektvorgaben. | Du kommunizierst mit internen und externen Interessengruppen und präsentierst die daraus entstehenden Outputs. | Du stellst die Schnittstellenfunktion zwischen Fachabteilung und IT sicher. | Du erstellst Testfälle und beurteilst und begleitest Benutzertests. | Du leitest Klein- und/oder Teilprojekte. | Du erarbeitest fachspezifische Grundlagen für das Erstellen von Projektaufträgen.;Du kennst dich mit Retail- und Logistik- Prozessen bestens aus, und Betriebsabläufe sind dir vertraut. | Du hast Erfahrung mit Business- und Prozess-Analysen und bringst gute Projektmanagement-Kenntnisse mit. | Deine konzeptionellen und analytischen Fähigkeiten sind stark ausgeprägt. | Du magst die Arbeit im Team und in bereichsübergreifenden Projekten. | In Deutsch kommunizierst du gewandt und überzeugend. Französisch- und Englischkenntnisse sind von Vorteil.
9;Business Analyst - AML/KYC;Swisslinx;Zürich, Schweiz;Analyse und Bewertung definierter Schwachstellen in Geschäftsprozessen oder Systemen | Erarbeitung von Lösungsvorschlägen in enger Zusammenarbeit mit allen relevanten Stakeholdern | Erstellung und Ausarbeitung von Features als Vorbereitung für die IT-Umsetzung | Enge Abstimmung mit dem IT-Team zur Sicherstellung einer reibungslosen Umsetzung der Anforderungen | Ziel: Sicherstellung, dass erkannte Schwachstellen nachhaltig durch tragfähige, abgestimmte und umsetzbare Lösungen behoben werden. | Start: ASAP oder nach Vereinbarung | Dauer: 15 Monate, bis 01.2027 | Einsatzort: Zürich | Hybrid: 1-2 Tage/W Home Office | Pensum: 100% | Vertrag: Anstellung bei Swisslinx | Über 5 Jahre Erfahrung als BA im Analysieren und Bewerten von Anforderungen, skizzieren von Lösungen, inkl. Testing | Erfahrung in Umgang mit Stakeholdern sowie Business-Engineer und IT | Gute Kenntnisse von PowerPoint, Confluence und Jira. VSB-Kenntnisse von Vorteil | Erfahrung in Bankenumfeld / Finanzsektor von grosser Vorteil | Fliessende Deutschkenntnisse (B2);no skills found on this job ad
10;Business Analyst mit Guidewire-Erfahrung (m/w/d) 80 - 100%;Zürich Versicherungs-Gesellschaft AG / Zurich Insurance Company Ltd / Zurich Compagnie d'Assurances SA;CH - Zürich;Analysieren und Aufnehmen von Geschäftsanforderungen entlang der P&C Wertschöpfungskette, insbesondere im Guidewire-Kontext;Guidewire Module im Gesamtkontext der Zurich Architektur analysieren, bewerten und in Lösungskonzepte integrieren
