Job_Index;Job_Title;Company_Name;Job_Location;Tasks;Skills;Job_Search_Term
1;Data & Analytics Spezialist:in 70-100% mit starken technischen Skills;p3b ag;Raum Bern und teilweise im Homeoffice;Implementierung und Optimierung innovativer Business Intelligence Lösungen auf Basis von Microsoft BI-Technologien | Du übernimmst Verantwortung bei der Migration der bestehenden Infrastruktur auf moderne Azure-Technologien | Entwicklung und Umsetzung von Strategien im Bereich BI | Du engagierst dich in der Haltung, Pflege, Analyse und Visualisierung von geschäftsrelevanten Daten | arbeitest du mit modernen Microsoft Technologien aus dem BI-Bereich | entwickelst du innovative Ansätze zur Optimierung von Datenprozessen | trägst du zur datengetriebenen Entscheidungsfindung bei | tauschst du dich regelmässig mit Kolleg:innen aus verschiedenen Fachbereichen aus | Abgeschlossenes Studium in der Informatik, Wirtschaftsinformatik, Datenwissenschaften oder vergleichbar | Fundierte Kenntnisse in Azure-Technologien (z. B. Power BI, MS Fabric) und/oder Microsoft-BI-Technologie (MSSQL Server, SSAS, SSIS) | Hervorragendes Verständnis von BI-Methoden und -Prozessen sowie Erfahrung in der Entwicklung und Architektur im BI-Bereich | Sehr gute Deutsch- und solide Französischkenntnisse oder sehr gute Französisch- und solide Deutschkenntnisse | Du bist flexibel, offen und neue Herausforderungen machen dir Spass | Stetige Weiterentwicklung ist dir wichtig | Neue Technologien und Herausforderungen motivieren dich | Du zeigst Eigeninitiative und Verantwortungsbewusstsein | Die Arbeit im Team sowie der Austausch mit verschiedensten Anspruchsgruppen bereiten dir Freude | Du kommunizierst stufengerecht und transparent | Setzt sich seit mehr als 180 Jahren für seine Mitglieder ein und bietet ihnen innovative Produkte und Dienstleistungen an | Branche: Sinnstiftendes Umfeld | Das Team von engagierten Expert:innen im Bereich Datenmanagement sucht Verstärkung | Moderner Arbeitsplatz im Raum Bern mit optimaler Anbindung an den öffentlichen Verkehr | Dank flacher Hierarchien findest du ein Umfeld mit raschen Entscheidungswegen - du kannst etwas bewegen! | Im persönlichen Gespräch geben wir dir gerne viele weitere Informationen! | Teilzeitmodelle werden unterstützt | Work Smart: Arbeiten von zu Hause und auf dem Arbeitsweg | Weiterbildung wird mit einem jährlichen Budget unterstützt und gefördert | Es erwartet dich ein offenes, familiäres und kollegiales Arbeitsklima | Erfolge werden gemeinsam gefeiert | Du übernimmst Verantwortung in spannenden Vorhaben;no skills found on this job ad;Data Scientist
2;Data Modeling & Metadata Specialist Banking;Pro Informatik AG;Zürich;Data modelling for application re-wiring and migration onto a data lake | Capture and model data requirements, data definitions, business rules, data quality requirements and logical data models for a global data platform | Conduct impact assessments by analyzing and mapping as-is versus to-be data entities | Develop logical and physical data models following best practices to ensure high data quality and minimize redundancy | Partner with the Chief Data Office and business stakeholders to align data entities with the enterprise data catalog | Collaborate with development teams to implement data strategies, design data flows, and support the creation of conceptual data models;Several years of experience in data modelling and engineering within the banking sector | Knowledge of reference architectures, especially concerning integrated, data-driven landscapes and solutions | Solid knowledge around financial data classification and sensitivity | Expert knowledge of metadata management and related tools (Informatica MDM) | Strong understanding of data modeling standards, processes and tools (erwin Data Modeler, IBM InfoSphere Data Architect, Collibra / Informatica EDC or similar) | Fluent in English;Data Scientist
3;Data Quality / Back-Office Support 80-100% (befristet auf 2 Jahre);Wascosa AG;Luzern;Verantwortung für die strukturierte Ablage im Archivsystem | Prüfung und kontinuierliche Verbesserung von Daten im Archivsystem | Sicherstellung der Datenqualität | Pflege und Aktualisierung vorhandener Datensätze | Unterstützung bei der Organisation und Verwaltung der Archivdokumentation | Radsatz-/Datensatzkontrolle und Vervollständigung;Abgeschlossene kaufmännische Ausbildung | MS-Office Anwenderkenntnisse und erste Erfahrung in gängigen ERP-Systemen | Sehr gute Deutschkenntnisse und gute Englischkenntnisse | Selbständige, präzise Arbeitsweise und gutes Organisationsvermögen;Data Scientist
4;Datenanalyst/in;Ärztekasse Genossenschaft;Urdorf;Sie erstellen, erweitern und aktualisieren regelmässige Reports und Ad-hoc-Auswertungen für interne und externe Kundinnen und Kunden. Mit Ihren Programmier-kenntnissen sind Sie für den Datenfluss aus dem Data Warehouse verantwortlich und realisieren auch Automatisierungs- und Effizienzsteigerungspotentiale. | Sie sind verantwortlich für die Aufbereitung und Plausibilisierung unserer BI-Produkte und Analysen sowie für die Sicherstellung der Datenqualität. | Sie entwickeln unsere BI-Produkte weiter. | Sie unterstützen Kundinnen und Kunden bei der Analyse ihrer Geschäftsdaten und arbeiten aktiv im Controlling mit.;"Sie besitzen einen Studienabschluss in Mathematik, Informatik, Informations-management, Naturwissenschaften, Statistik oder Wirtschaftswissenschaften mit mathematischem bzw. statistischem Schwerpunkt. Sie programmieren komfortabel in SQL und bringen fundierte Kenntnisse in Datenanalyse-Tools (z.B. R) und Datenvisualisierung (z.B. Power BI) mit. | Sie verfügen über mindestens drei Jahre Berufserfahrung in der Datenanalyse. | Sie besitzen ein ausgeprägt analytisches und konzeptionelles Denken, welches von einer systematischen Arbeitsweise begleitet ist. | Motivation und Eigenantrieb sind für Sie selbstverständlich. Sie sind neugierig und leben eine „Can-Do“-Attitude sowie eine proaktive, kundenorientierte Denk- und Handlungsweise. | Sie beherrschen stilsicheres Deutsch und arbeiten sicher in englischer Sprache; Kenntnisse in Französisch oder Italienisch sind von Vorteil.";Data Scientist
5;Senior Data & Analytics Engineer 80%-100% (H/F);CIGES SA;Boudevilliers;Concevoir, développer et optimiser les pipelines de données (ETL/ELT) en assurant leur robustesse et leur performance. | Travailler en étroite collaboration avec les responsables d’application et les business analystes pour assurer la disponibilité et la cohérence des données en vue de répondre aux besoins métiers et analytiques | Assurer le maintien en condition opérationnelle des pipelines de données et participer à la résolution d’incidents | Appliquer les bonnes pratiques en matière de data engineering, de modélisation de données et de gouvernance de données | Documenter les pipelines, les modèles de données et les processus pour assurer la conformité et la bonne gouvernance des actifs de données. | Effectuer une veille continue sur les nouvelles technologies, outils et bonnes pratiques en data engineering et être force de proposition en vue de l’optimisation de la plateforme Data;Vous êtes d’une nature sereine, bienveillante et vous aimez le travail collaboratif | Orienté·e service vous faites preuve d’aisance à communiquer par oral et par écrit | Vous avez au minimum 5 ans d’expérience dans l’implémentation de pipelines de données | Expérience avérée de mise en œuvre de projets d’informatique décisionnelle | Connaissances de méthodes et outils d’orchestration de pipelines, de monitoring et de gestion de logs | Expériences dans le DataOps, le test de pipelines, l’historisation et la visualisation de données, la documentation et catalogue des données et CI/CD pour les pipelines sont un avantage | Intérêt dans l’analyse prédictive (Python ou R) est un plus | Formation universitaire, HES ou jugée équivalente | Français niveau C1;Data Scientist
6;Data Analyst de données de consommations énergétiques de bâtiments 80-100%;Signa-Terre SA;Genève;Relèves et enregistrements des consommations auprès des fournisseurs d’énergie, des régies et/ou des propriétaires (internet, e-mail, chez le client) | Suivi des demandes et relance | Contrôle de la cohérence des données et de la qualité des relevés de consommations | Etablissement des Bilan énergétique (ImmoLabel) | Appui administratif aux gestionnaires clients;CFC employé.e de commerce ou équivalent | Une expérience dans le secteur de l’immobilier et/ou de la comptabilité est un atout | Très bonne connaissance des outils courants de MS Office et plaisir de traiter les chiffres | Personnalité avec une approche innovante et avec un fort esprit d’équipe | Méthodes de travail analytique et indépendante | Engagement et volonté d’apprendre | Expérience et aisance pour le contact téléphonique et écrit avec la clientèle | Solides compétences en communication | L’allemand et/ou l'anglais sont un atout;Data Scientist
7;Software Engineer for Recommender Systems / ML-Integration (w/m/d);Digitec Galaxus AG;Zürich;Als Software Engineer bist du verantwortlich für die Konzeption, Umsetzung und kontinuierliche Weiterentwicklung von Recommendern zur Identifikation ähnlicher Produkte, personalisiertes Ranking und finden von passendem Zubehör. | Du bist mitverantwortlich für die zuverlässige und performante Integration von ML Komponenten, und unterstützt die Data Scientists bei der Technologieauswahl, beim Training sowie der Wartung verschiedener Modelle. | Du arbeitest eng mit anderen Engineers, sowie mit Kolleg*innen aus den Bereichen Data, Design und Product Management zusammen, um kundennahe Lösungen zu realisieren. | Du kümmerst dich um die technische Infrastruktur deines Verantwortungsbereichs, überwachst die Systeme und sorgst für einen stabilen und zuverlässigen Betrieb. | Du fühlst dich in einem agilen, experimentierfreudigen Umfeld wohl und bringst gern eigene Ideen ein. A/B Testing, die Interpretation deren Resultate und Ableitung von Massnahmen sind für dich selbstverständlich.;Du bringst mindestens 3 Jahre Berufserfahrung als Software Engineer in .NET / C# sowie Grundkenntnisse in Python mit. | Du hast grosses Interesse an der Integration von Echtzeit ML Modellen. Idealerweise hast du solide theoretischen Kenntnisse in ML, Statistik oder Algorithmik, welche eine reibungslose Zusammenarbeit mit unseren Data Scientists und Analysts sicherstellen. | Du kennst dich mit einer oder mehreren Technologien aus unserem Tech-Stack aus: .NET/C#, Python, Google BigQuery, No-SQL (Google Firestore), GraphQL, GCP, Azure, ML Frameworks (XGBoost, Pytorch, Sentence-Transformers) | Du hast eine positive Grundeinstellung, bist humorvoll und lachst gern. | Offenheit, Neugier und Eigeninitiative zeichnen dich aus. Dabei nutzt du deine Kreativität, um Probleme zu lösen und Ziele zu erreichen. | Als Teamplayer bringst du dich mit Empathie und Experimentierfreude proaktiv ins Team ein. | Du sprichst Deutsch und Englisch.;Data Scientist
8;Clinical Research Associate / Clinical Scientist;InnoMedica;Bern;Support in the planning of clinical trials and preparation of trial documents as well as documents for the cantonal ethics committee, Swissmedic, and other authorities | Supervision of clinical trials through close interaction with the clinical trial sites | Conceptualization and writing of monitoring plans | Preparation, conduct, and follow-up of regular monitoring visits to trial sites to ensure data integrity through source data review | Conduct of training activities at the trial sites | Establishment of clinical trial tools for efficient coordination and communication | Authoring and/or coordinating scientific publications | Scientific congress participation and presentation;no skills found on this job ad;Data Scientist
9;ESG Data Specialist;Pensimo Management AG;Zürich;Erfassung von ESG-Kennzahlen (Erfassung, Qualitätskontrolle, Optimierung des Abdeckungsgrads) | Weiterentwicklung einer umfassenden «Nachhaltigkeitsdatenbank» in Zusammenarbeit mit dem Data Manager | Aufbereitung von ESG-Kennzahlen für Berichterstattung und Benchmarking | Analyse von ESG-Kennzahlen und Identifikation von Optimierungspotential | Unterstützung bei der Umsetzung von Verbesserungsmassnahmen sowie bei interner und externer Schulung und Kommunikation zum Thema Nachhaltigkeit | Hochschulabschluss BSc oder MSc (Universität, ETH oder FH) in Architektur, Bau-, Ingenieur-, Wirtschafts- oder Umweltnaturwissenschaften | Zusatzausbildung in nachhaltiger Entwicklung oder Immobilienmanagement von Vorteil | Solides Grundwissen zu Nachhaltigkeit in Immobilien, Immobilienanlagen und Finanzprodukten | Erste Erfahrungen im Projektmanagement sowie in der Nutzung von Daten und Metriken zur Definition und Umsetzung von Initiativen zur Prozessverbesserung | Sehr gute Kenntnisse in MS Office 365, sichere Anwendung von Datenbanken und Content-Service-Plattformen | Sehr gute Deutschkenntnisse, gute Französisch- und Englischkenntnisse | Analytische Arbeitsweise und hohe Datenaffinität | Hoher Grad an Selbständigkeit, Eigenverantwortung und vernetztes Denken | Freude an neuen Fragestellungen und Herausforderungen | Ein wertschätzendes, kollegiales Arbeitsumfeld mit viel Vertrauen und Eigenverantwortung | Moderne Büros in Zürich (Kreis 5) und flexible Arbeitsmöglichkeiten inkl. Remote-Work | Attraktive Anstellungsbedingungen und Weiterentwicklungsmöglichkeiten | Ein Team, das gemeinsam weiterdenkt, Verantwortung übernimmt und Neues wagt;no skills found on this job ad;Data Scientist
10;Sachbearbeiter/in B2B Backoffice, 100% (m/w/d);Digital Republic AG;Schlieren;"Topmoderne Infrastruktur an zentraler Lage (Schlieren bei Zürich) | Hybrides Arbeitsmodell mit fixen Büro- und Homeoffice Tagen | Wertschätzende Atmosphäre mit flachen Hierarchien | Attraktive BVG-Versicherungsleistungen | Unfallversicherung in der Privatabteilung | Mitarbeiterangebote im Bereich Telekommunikation | Diverse Mitarbeiterveranstaltungen | Monatliches Pizzaessen im Team | und vieles mehr... | Administrative Unterstützung des B2B-Verkaufsteams bei der Betreuung
von Geschäftskunden | Bearbeiten von Kundenanfragen (telefonisch und schriftlich) zu Tarifen,
Rechnungen, Vertragsänderungen und technischen Themen | Abwicklung von Gross-Bestellungen von Kunden und Partnern | Erstellung von Offerten und Partnerverträgen sowie Pflege im CRM | Aufbereiten von Reports zu Verkaufs- und Kundenstatistiken | Sicherstellung einer reibungslosen Kundenbetreuung durch enge
Zusammenarbeit mit dem Supportteam | Unterstützung bei Projekten, Kampagnen und Cold Calling";no skills found on this job ad;Data Scientist
