Location;Job_Count
Zürich;34
Bern;15
Geneva;10
Zurich;8
Solothurn;5
Winterthur;4
Lausanne;3
Basel;3
Luzern;3
Urdorf;2
Mägenwil;2
Lenzburg;2
Burgdorf;2
Genève;2
Schlieren;2
Bottighofen;2
Martigny;2
Zürich und/oder Mägenwil;2
Echandens;2
Frauenfeld;2
St. Gallen;2
Deutschschweiz;2
Zürich-Seefeld;2
Allschwil;2
6036 Dierikon;1
Wollerau;1
Neuchâtel (Hybrid);1
St.Gallen;1
Uzwil;1
Laufenburg;1
Bussnang;1
Ibach-Schwyz;1
St. Gallen und/oder Zürich-Flughafen (The Circle);1
Emmen;1
Balerna;1
Nänikon-Greifensee;1
Kaiseraugst;1
CH - Zürich;1
Zentralschweiz;1
Egerkingen;1
Sierre;1
Härkingen;1
Thun, Berne, Schweiz;1
Bonaduz;1
Hergiswil;1
1211 GENEVE 11;1
Villars-sur-Glâne;1
1008 Prilly;1
Rheinfelden;1
Buchs AG;1
Münchenstein Spenglerpark und mobiles Arbeiten;1
Basel Hauptsitz/Siège;1
Goldau / Schwyz / Uetendorf / Thun;1
2606 Corgémont;1
Graubünden, Grono or remote;1
Tägerwilen;1
Liebefeld;1
Büren an der Aare;1
Berna;1
Zollikofen;1
Lausanne, Switzerland;1
Chiasso;1
Landquart;1
Baden;1
Regensdorf;1
Dübendorf;1
Raum Bern und teilweise im Homeoffice;1
Boudevilliers;1
Pully;1
Stabio;1
"Switzerland &gt; Basel : H-127 A2";1
Bleichemattstrasse 31;1
Volkestwil;1
Oerlikon;1
Rolle;1
Prilly;1
Reinach BL;1
